,ListingID,Property_Type,Region,Locality,Price,FloorSize,SizeType,Bedrooms,Bathrooms,Furnishing,Property_Condition,Developer,Society,Longitude,Latitude,Price_PSQFT,URL
196,536,Apartment,Chennai South,Sholinganallur,8800000,1567.0,super area,3.0,3.0,Semi-Furnished,Resale,,,0.0,0.0,5615.82642,https://www.magicbricks.com/propertyDetails/3-BHK-1567-Sq-ft-Multistorey-Apartment-FOR-Sale-Sholinganallur-in-Chennai&id=4d423432353532303033
197,760,Apartment,Chennai South,East Coast Road,15000000,2027.0,carpet area,3.0,3.0,Semi-Furnished,Resale,Olive Beach Promoters,Olive Sands,12.860271000000001,80.245024,5606.135354999999,https://www.magicbricks.com/propertyDetails/3-BHK-2027-Sq-ft-Multistorey-Apartment-FOR-Sale-East-Coast-Road-in-Chennai&id=4d423437393334303839
198,48,Apartment,Chennai South,Sholinganallur,5590000,1000.0,super area,2.0,2.0,Unfurnished,New Property,Double T Constructions and Promoters LLP,Pranavam,0.0,0.0,5590.0,https://www.magicbricks.com/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Sale-Sholinganallur-in-Chennai&id=4d423431303539333537
199,1418,Apartment,Chennai South,Medavakkam,7600000,1360.0,super area,3.0,2.0,Semi-Furnished,Resale,,,0.0,0.0,5588.235294,https://www.magicbricks.com/propertyDetails/3-BHK-1360-Sq-ft-Multistorey-Apartment-FOR-Sale-Santhosapuram-in-Chennai&id=4d423437303234333733
200,146,Builder Floor Apartment,Chennai South,Medavakkam,7000000,950.0,carpet area,3.0,2.0,Semi-Furnished,New Property,,,12.50293159,79.87546539,5582.137161,https://www.magicbricks.com/propertyDetails/3-BHK-1023-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Ranganathapuram-Medavakkam-in-Chennai&id=4d423436353632373635
201,2018,Builder Floor Apartment,Chennai South,Uthandi,6500000,1165.0,super area,3.0,2.0,Unfurnished,Resale,,,12.86498387,80.24822524,5579.399142,https://www.magicbricks.com/propertyDetails/3-BHK-1165-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Uthandi-in-Chennai&id=4d423435323038353633
202,2071,Builder Floor Apartment,Chennai South,Nanganallur,4600000,825.0,super area,2.0,2.0,Semi-Furnished,Resale,,,0.0,0.0,5575.757576,https://www.magicbricks.com/propertyDetails/2-BHK-825-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Nanganallur-in-Chennai&id=4d423436393838343733
203,1544,Apartment,Chennai South,Karapakkam,7000000,1258.0,super area,2.0,2.0,Semi-Furnished,Resale,,,0.0,0.0,5564.387917,https://www.magicbricks.com/propertyDetails/2-BHK-1258-Sq-ft-Multistorey-Apartment-FOR-Sale-Karapakkam-in-Chennai&id=4d423436393139323133
204,668,Apartment,Chennai South,Medavakkam,6600000,900.0,carpet area,2.0,2.0,Furnished,Resale,,,12.91253137,80.18844895,5555.555556,https://www.magicbricks.com/propertyDetails/2-BHK-1187-Sq-ft-Multistorey-Apartment-FOR-Sale-Medavakkam-in-Chennai&id=4d423436393732343137
205,1460,Apartment,Chennai South,Sholinganallur,2500000,450.0,super area,1.0,1.0,Furnished,Resale,,,0.0,0.0,5555.555556,https://www.magicbricks.com/propertyDetails/1-BHK-450-Sq-ft-Multistorey-Apartment-FOR-Sale-Sholinganallur-in-Chennai&id=4d423437313535323239
206,686,Builder Floor Apartment,Chennai South,Medavakkam,7348200,1324.0,super area,3.0,3.0,Semi-Furnished,Resale,,RWD Palm,12.9110667,80.1872759,5550.0,https://www.magicbricks.com/propertyDetails/3-BHK-1324-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Medavakkam-in-Chennai&id=4d423438333437323937
207,334,Apartment,Chennai South,Sholinganallur,9500000,1300.0,carpet area,3.0,3.0,Semi-Furnished,Resale,,,12.89387417,80.19960785,5536.130536,https://www.magicbricks.com/propertyDetails/3-BHK-1461-Sq-ft-Multistorey-Apartment-FOR-Sale-Sholinganallur-in-Chennai&id=4d423435333437343535
208,1614,Builder Floor Apartment,Chennai South,Kovilambakkam,6500000,1175.0,super area,3.0,2.0,Semi-Furnished,Resale,,,12.95121765,80.19668579,5531.914894,https://www.magicbricks.com/propertyDetails/3-BHK-1175-Sq-ft-Builder-Floor-Apartment-FOR-Sale-S.Kolathur-in-Chennai&id=4d423436303638353833
209,837,Apartment,Chennai South,Sholinganallur,4560000,825.0,super area,2.0,2.0,Semi-Furnished,Resale,,,0.0,0.0,5527.2727270000005,https://www.magicbricks.com/propertyDetails/2-BHK-825-Sq-ft-Multistorey-Apartment-FOR-Sale-Sholinganallur-in-Chennai&id=4d423437363131333639
210,869,Apartment,Chennai South,Sembakkam,5400000,977.0,super area,2.0,2.0,Semi-Furnished,Resale,,,0.0,0.0,5527.1238490000005,https://www.magicbricks.com/propertyDetails/2-BHK-977-Sq-ft-Multistorey-Apartment-FOR-Sale-Sembakkam-in-Chennai&id=4d423435353036353733
211,386,Builder Floor Apartment,Chennai South,Nanganallur,2650000,480.0,super area,1.0,1.0,Unfurnished,Resale,,,0.0,0.0,5520.833333,https://www.magicbricks.com/propertyDetails/1-BHK-480-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Nanganallur-in-Chennai&id=4d423437323435323035
212,25,Apartment,Chennai South,Kovilambakkam,7672500,1395.0,super area,3.0,3.0,Unfurnished,New Property,Plaza Group,Plaza Bounty Acres,12.950358999999999,80.190007,5500.0,https://www.magicbricks.com/propertyDetails/3-BHK-1395-Sq-ft-Multistorey-Apartment-FOR-Sale-Kovilambakkam-in-Chennai&id=4d423435383237343437
213,301,Apartment,Chennai South,Pallikaranai,7150000,1300.0,super area,3.0,3.0,Unfurnished,New Property,,,0.0,0.0,5500.0,https://www.magicbricks.com/propertyDetails/3-BHK-1300-Sq-ft-Multistorey-Apartment-FOR-Sale-Pallikaranai-in-Chennai&id=4d423434373338353035
214,398,Apartment,Chennai South,Medavakkam,6088500,1107.0,super area,2.0,2.0,Unfurnished,New Property,Chenthur Homes,Chenthur Homes Santhosapuram Flats,12.91677,80.169225,5500.0,https://www.magicbricks.com/propertyDetails/2-BHK-1107-Sq-ft-Multistorey-Apartment-FOR-Sale-Santhosapuram-in-Chennai&id=4d423438303335323535
215,1356,Apartment,Chennai South,Pallikaranai,5500000,1000.0,super area,3.0,3.0,Unfurnished,Resale,,,0.0,0.0,5500.0,https://www.magicbricks.com/propertyDetails/3-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Sale-Pallikaranai-in-Chennai&id=4d423437313738313839
216,2007,Apartment,Chennai South,Kovilambakkam,4070000,740.0,super area,2.0,2.0,Furnished,Resale,,,12.95017624,80.18706512,5500.0,https://www.magicbricks.com/propertyDetails/2-BHK-740-Sq-ft-Multistorey-Apartment-FOR-Sale-Kovilambakkam-in-Chennai&id=4d423435313338353135
217,2258,Apartment,Chennai South,Kovilambakkam,7942000,1444.0,super area,3.0,3.0,Unfurnished,New Property,Plaza Group,Plaza Bounty Acres,12.950358999999999,80.190007,5500.0,https://www.magicbricks.com/propertyDetails/3-BHK-1444-Sq-ft-Multistorey-Apartment-FOR-Sale-Kovilambakkam-in-Chennai&id=4d423435383237343537
218,402,Apartment,Chennai South,Medavakkam,6703281,1219.0,super area,3.0,2.0,Unfurnished,New Property,Sree Aishwaryam Homes,Aishwaryam Majestica,12.92707397,80.19389157,5499.0,https://www.magicbricks.com/propertyDetails/3-BHK-1219-Sq-ft-Multistorey-Apartment-FOR-Sale-Medavakkam-in-Chennai&id=4d423437363237383431
219,310,Apartment,Chennai South,Sholinganallur,8500000,1546.0,super area,3.0,2.0,Unfurnished,New Property,Embassy Group,Embassy Residency,12.894228,80.20739388,5498.059507999999,https://www.magicbricks.com/propertyDetails/3-BHK-1546-Sq-ft-Multistorey-Apartment-FOR-Sale-Sholinganallur-in-Chennai&id=4d423435323230333631
220,2,Apartment,Chennai South,Pallikaranai,3358000,611.0,super area,1.0,1.0,Unfurnished,New Property,Puravankara Ltd.,Purva Windermere,12.930341,80.196754,5495.908347,https://www.magicbricks.com/propertyDetails/1-BHK-611-Sq-ft-Multistorey-Apartment-FOR-Sale-Pallikaranai-in-Chennai&id=4d423339383136323339
